City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,belton,38.812,-94.5319,144.42222222222222,62,0,2.06,US,1681447749
149,sur,22.5667,59.5289,151.52222222222224,45,23,0.76,OM,1681447750
150,zhigansk,66.7697,123.3711,131.5888888888889,82,38,5.2,RU,1681447750
151,lorengau,-2.0226,147.2712,149.97222222222223,78,27,6.87,PG,1681447751
152,touros,-5.1989,-35.4608,147.4888888888889,90,88,3.97,BR,1681447751
153,yellowknife,62.456,-114.3525,131.36666666666667,80,20,3.6,CA,1681447752
154,jieshi,22.8134,115.8257,147.36666666666667,80,87,3.3,CN,1681447752
155,hearst,49.6835,-83.6665,134.60555555555558,96,100,3.19,CA,1681447753
156,mouila,-1.8685,11.0559,146.8777777777778,98,99,1.07,GA,1681447753
157,onguday,50.75,86.15,139.15000000000003,43,78,3.71,RU,1681447753
158,hovd,48.0056,91.6419,138.10555555555555,11,0,2.22,MN,1681447754
159,gwanda,-20.9333,29.0,143.5666666666667,35,1,2.75,ZW,1681447755
160,port hedland,-20.3167,118.5667,152.8777777777778,40,100,5.14,AU,1681447755
161,bethel,41.3712,-73.414,145.82222222222225,45,0,1.54,US,1681447756
162,paita,-5.0892,-81.1144,149.07222222222222,74,100,2.2,PE,1681447756
163,havoysund,70.9963,24.6622,134.6,69,3,2.86,NO,1681447757
164,waipawa,-41.4122,175.5153,140.8888888888889,81,99,3.86,NZ,1681447757
165,yulara,-25.2406,130.9889,151.54444444444442,41,100,10.35,AU,1681447757
166,nanortalik,60.1432,-45.2371,134.31666666666666,76,100,3.06,GL,1681447758
167,hohhot,40.8106,111.6522,140.7277777777778,11,0,8.0,CN,1681447759
168,salalah,17.0151,54.0924,150.11111111111111,74,40,1.03,OM,1681447760
169,naze,28.3667,129.4833,147.03333333333336,94,100,4.88,JP,1681447760
170,tasiilaq,65.6145,-37.6368,133.46666666666667,86,70,2.16,GL,1681447760
171,nemuro,43.3236,145.575,137.43333333333334,81,15,4.63,JP,1681447761
172,alofi,-19.0595,-169.9187,149.49444444444444,69,81,6.69,NU,1681447761
173,erenhot,43.6475,111.9767,136.89444444444447,12,0,12.63,CN,1681447761
174,sarankhola,22.3082,89.7897,156.52222222222224,18,7,2.37,BD,1681447762
175,beringovskiy,63.05,179.3167,126.94444444444446,82,99,4.53,RU,1681447762
176,esperance,-33.8667,121.9,142.36111111111111,59,69,12.96,AU,1681447762
177,tallahassee,30.4383,-84.2807,144.4777777777778,95,0,1.54,US,1681447544
178,andilamena,-17.0167,48.5833,145.0388888888889,85,90,1.56,MG,1681447763
179,dayong,25.0209,118.2898,151.62222222222223,47,32,2.26,CN,1681447763
180,kudahuvadhoo,2.6708,72.8944,149.82222222222222,70,14,1.48,MV,1681447764
181,souillac,-20.5167,57.5167,147.42222222222225,94,20,1.03,MU,1681447764
182,najran,17.4924,44.1277,145.28333333333333,46,2,3.38,SA,1681447765
183,junagadh,21.5167,70.4667,152.23888888888888,27,0,3.72,IN,1681447765
184,lahat,-3.8,103.5333,152.63333333333335,44,41,1.83,ID,1681447561
185,aksarka,66.5606,67.7975,126.95,84,35,6.87,RU,1681447767
186,georgetown,5.4112,100.3354,152.28333333333336,70,20,3.6,MY,1681447723
187,saint-pierre,-21.3393,55.4781,149.8888888888889,69,0,2.06,RE,1681447768
188,pemangkat,1.1667,108.9667,149.97777777777776,62,69,2.95,ID,1681447768
189,maunabo,18.0072,-65.8993,147.80555555555557,94,7,4.01,PR,1681447769
190,aklavik,68.2191,-135.0107,123.17222222222223,95,100,3.24,CA,1681447769
191,diofior,14.1833,-16.6667,148.03333333333333,51,35,5.7,SN,1681447770
192,kant,27.8,79.8,154.89444444444445,9,98,3.67,IN,1681447770
193,gondar,12.6,37.4667,145.01666666666665,49,45,2.32,ET,1681447771
194,chardara,41.2547,67.9692,148.25555555555556,38,81,9.64,KZ,1681447772
195,novaya zaimka,56.4857,66.9241,130.28333333333333,50,16,7.5,RU,1681447772
196,gat,31.61,34.7642,142.12222222222223,100,0,1.8,IL,1681447772
197,cabo san lucas,22.8909,-109.9124,147.0888888888889,69,98,1.79,MX,1681447711
198,lebu,-37.6167,-73.65,140.99444444444447,95,94,0.98,CL,1681447773
199,dedovichi,57.5517,29.9502,136.0222222222222,69,100,5.31,RU,1681447774
200,cidreira,-30.1811,-50.2056,143.9888888888889,88,100,4.05,BR,1681447774
201,lavrentiya,65.5833,-171.0,124.52222222222223,82,15,4.38,RU,1681447775
